Job No,Date,Client,Type, Pricing ,Truck,Location,Crew Event,Cameraman,Assistant,4G,Duration Crew,Crew Start Time,Crew End Time,Camera,Camera Qty,Others Acces,Reporter,Editor,Story,Report Duration,Format,Note,Edit S.T.,Edit E.T.,Crew Duration,edit duration
471,11-Apr-22,alghad tv,edit, $50.00 ,No Car,No Location,No Event,No Cameraman,No Assistant,no 4G,0:00,0,0,No Camera needed,0,No Acces,Reporter,Editor needed,Story,0:02:17,MXF-HD 50i,No Notes,2023-08-17 13:00:00,2023-08-17 14:25:00,0.0,85.0
472,11-Apr-22,alghad tv,edit, $50.00 ,No Car,No Location,No Event,No Cameraman,No Assistant,no 4G,0:00,0,0,No Camera needed,0,No Acces,Reporter,Editor needed,Story,0:02:59,MXF,PKG report-Hanan Issa:,2023-08-17 17:00:00,2023-08-17 19:00:00,0.0,120.0
473,12-Apr-22,bbc arabic,crew + edit, $350.00 ,Suzuki Cias,hamra,Event Description,Cameraman,Assistant Needed,no 4G,2:00,2023-08-17 10:00:00,2023-08-17 12:00:00,Sony Z150,1.0,Pro-X,No Reporter,Editor needed,Story,00:03:17,MP4-HD,Daily crew,2023-08-17 00:00:00,2023-08-17 07:12:00,120.0,432.0
474,12-Apr-22,alghad tv,crew + edit, $265.00 ,Suzuki Cias,downtown,Event Description,Cameraman,Assistant Needed,no 4G,5:30,2023-08-17 11:30:00,2023-08-17 17:00:00,Sony Z150,1.0,Pro-X,Reporter,Editor needed,Story,0:02:37,MXF-HD 50i,No Notes,2023-08-17 16:00:00,2023-08-17 17:35:00,330.0,95.0
475,12-Apr-22,alghad tv,crew, $750.00 ,Suzuki Cias,bna3foul,Event Description,Cameraman,Assistant Needed,4G,6:50,2023-08-17 09:10:00,2023-08-17 16:00:00,Sony Z150,1.0,Pro-X,Reporter,No Editor,No story,0,No format,No Notes,0,0,410.0,0.0
476,12-Apr-22,beirutsat,crew, $180.00 ,No Car,downtown,Event Description,Cameraman,Assistant Needed,no 4G,1:00,2023-08-17 12:00:00,2023-08-17 13:00:00,Sony Z150,1.0,Pro-X,No Reporter,No Editor,No story,0,No format,Volant media,0,0,60.0,0.0
478,13-Apr-22,alghad tv,crew + edit, $265.00 ,Suzuki Cias,bourj el brajne,Event Description,Cameraman,Assistant Needed,no 4G,5:00,2023-08-17 10:15:00,2023-08-17 15:15:00,Sony Z150,1.0,Pro-X,Reporter,Editor needed,Story,0:02:25,MXF,PKG report-Hanan Issa: ,2023-08-17 17:00:00,2023-08-17 18:30:00,300.0,90.0
479,13-Apr-22,alghad tv,crew, $250.00 ,Suzuki Cias,sodeco,Event Description,Cameraman,Assistant Needed,no 4G,3:30,2023-08-17 11:30:00,2023-08-17 15:00:00,Sony Z150,1.0,Pro-X,Reporter,No Editor,No story,0,No format,PKG report-Claudie Abi Hanna: ,0,0,210.0,0.0
482,13-Apr-22,beirutsat,crew, $180.00 ,No Car,downtown,Event Description,Cameraman,Assistant Needed,no 4G,1:00,2023-08-17 11:00:00,2023-08-17 12:00:00,Canon XF305,1.0,Pro-X,No Reporter,No Editor,No story,0,No format,Volant media,0,0,60.0,0.0
483,13-Apr-22,alghad tv,edit, $50.00 ,No Car,No Location,No Event,No Cameraman,No Assistant,no 4G,0:00,0,0,No Camera needed,0,No Acces,Reporter,Editor needed,Story,0:02:35,MXF,PKG report-Claudie Abu Hanna:,2023-08-17 14:30:00,2023-08-17 16:10:00,0.0,100.0
484,13-Apr-22,alghad tv,edit, $50.00 ,No Car,No Location,No Event,No Cameraman,No Assistant,no 4G,0:00,0,0,No Camera needed,0,No Acces,Reporter,Editor needed,Story,0:03:09,MXF,PKG report-Leila Khalil: Mounamnamat interview tania kassis,2023-08-17 11:30:00,2023-08-17 14:00:00,0.0,150.0
485,14-Apr-22,alghad tv,crew, $250.00 ,Suzuki Cias,sabra,Event Description,Cameraman,Assistant Needed,no 4G,2:15,2023-08-17 16:20:00,2023-08-17 18:35:00,Sony Z150,1.0,Pro-X,Reporter,No Editor,No story,0,No format,No Notes,0,0,135.0,0.0
486,14-Apr-22,alghad tv,crew + edit, $265.00 ,Suzuki Cias,movenpick,Event Description,Cameraman,Assistant Needed,no 4G,6:30,2023-08-17 08:30:00,2023-08-17 15:00:00,Sony Z150,1.0,Pro-X,Reporter,Editor needed,Story,0:01:40,MXF-HD 50i,PKG report-Leila Khalil-Election Preparation / Duration:1Min 40secs,2023-08-17 12:00:00,2023-08-17 12:20:00,390.0,20.0
489,14-Apr-22,bloomberg asharq,crew, $285.00 ,Nissan X.Trail,verdun,Event Description,Cameraman,Assistant Needed,4G,8:45,2023-08-17 13:00:00,2023-08-17 21:45:00,Sony Z150,1.0,Pro-X,Reporter,Editor needed,Story,0:02:17,MP4-HD,Crew + 4G,2023-08-17 18:00:00,2023-08-17 20:00:00,525.0,120.0
490,14-Apr-22,alghad tv,edit, $50.00 ,No Car,No Location,No Event,No Cameraman,No Assistant,no 4G,0:00,0,0,No Camera needed,0,No Acces,Reporter,Editor needed,Story,0:02:52,MXF-HD 50i,nawafez intro,2023-08-17 15:00:00,2023-08-17 15:15:00,0.0,15.0
491,15-Apr-22,alghad tv,crew + edit, $265.00 ,Suzuki Cias,sabra,Event Description,Cameraman,Assistant Needed,no 4G,1:15,2023-08-17 10:00:00,2023-08-17 11:15:00,Sony Z150,1.0,Pro-X,Reporter,Editor needed,Story,0:02:35,MXF-HD 50i,No Notes,2023-08-17 14:30:00,2023-08-17 16:30:00,75.0,120.0
492,15-Apr-22,alghad tv,crew, $250.00 ,Suzuki Cias,kaslik,Event Description,Cameraman,Assistant Needed,no 4G,4:30,2023-08-17 10:30:00,2023-08-17 15:00:00,Sony Z150,1.0,Pro-X,Reporter,No Editor,No story,0,No format,PKG report-Leila Khalil:,0,0,270.0,0.0
493,16-Apr-22,alghad tv,crew, $250.00 ,Suzuki Cias,kfarmatta,Event Description,Cameraman,Assistant Needed,no 4G,7:40,2023-08-17 09:30:00,2023-08-17 17:10:00,Sony Z150,1.0,Pro-X,Reporter,No Editor,No story,0,No format,PKG report-Claudie Abi Hanna-Silk Factory,0,0,460.0,0.0
494,16-Apr-22,beirutsat,crew, $180.00 ,No Car,downtown,Event Description,Cameraman,Assistant Needed,no 4G,1:00,2023-08-17 11:00:00,2023-08-17 12:00:00,Sony Z150,1.0,Pro-X,No Reporter,No Editor,No story,0,No format,Volant Media,0,0,60.0,0.0
495,16-Apr-22,russia today,crew + edit, $280.00 ,Suzuki Cias,cola,Event Description,Cameraman,Assistant Needed,no 4G,4:30,2023-08-17 08:45:00,2023-08-17 13:15:00,Sony Z150,1.0,Pro-X,Reporter,Editor needed,Story,0:03:17,MP4-HD,PKG report-Omar el Solh-Demonstration / Duration:3Mins 17Secs,2023-08-17 14:00:00,2023-08-17 15:10:00,270.0,70.0
496,17-Apr-22,beirutsat,crew, $180.00 ,No Car,downtown,Event Description,Cameraman,Assistant Needed,no 4G,1:00,2023-08-17 12:30:00,2023-08-17 13:30:00,Sony Z150,1.0,Pro-X,No Reporter,No Editor,No story,0,No format,Volantmedia,0,0,60.0,0.0
497,19-Apr-22,bbc arabic,crew, $300.00 ,Renault Duster,dbaye,Event Description,Cameraman,Assistant Needed,no 4G,1:45,2023-08-17 12:30:00,2023-08-17 14:15:00,Sony Z150,1.0,Pro-X,No Reporter,No Editor,No story,0,No format,Daily Crew,0,0,105.0,0.0
498,19-Apr-22,alghad tv,crew + edit, $265.00 ,Suzuki Cias,downtown,Event Description,Cameraman,Assistant Needed,no 4G,6:20,2023-08-17 10:00:00,2023-08-17 16:20:00,Sony Z150,1.0,Pro-X,Reporter,Editor needed,Story,0:02:36,MXF,No Notes,2023-08-17 16:00:00,2023-08-17 17:30:00,380.0,90.0
499,19-Apr-22,alghad tv,crew, $250.00 ,Suzuki Cias,port beirut,Event Description,Cameraman,Assistant Needed,no 4G,1:30,2023-08-17 14:30:00,2023-08-17 16:00:00,Sony Z150,1.0,Pro-X,Reporter,No Editor,No story,0,No format,PKG report-Leila Khalil:,0,0,90.0,0.0
501,19-Apr-22,bloomberg asharq,crew, $265.00 ,Nissan X.Trail,port beirut,Event Description,Cameraman,Assistant Needed,no 4G,1:30,2023-08-17 14:30:00,2023-08-17 16:00:00,Sony Z150,1.0,Pro-X,Reporter,No Editor,No story,0,No format,PKG report-Maha Hoteit:,0,0,90.0,0.0
502,19-Apr-22,beirutsat,crew, $180.00 ,No Car,downtown,Event Description,Cameraman,Assistant Needed,no 4G,1:00,2023-08-17 11:30:00,2023-08-17 12:30:00,Sony Z150,1.0,Pro-X,No Reporter,No Editor,No story,0,No format,Volantmedia ,0,0,60.0,0.0
503,19-Apr-22,alghad tv,edit, $50.00 ,No Car,No Location,No Event,No Cameraman,No Assistant,no 4G,0:00,0,0,No Camera needed,0,No Acces,Reporter,Editor needed,Story,0,No format,No Notes,2023-08-17 12:00:00,2023-08-17 16:00:00,0.0,240.0
504,19-Apr-22,bloomberg asharq,edit, $50.00 ,No Car,No Location,No Event,No Cameraman,No Assistant,no 4G,0:00,0,0,No Camera needed,0,No Acces,No Reporter,Editor needed,Story,00:02:32,MP4-HD,No Notes,2023-08-17 10:48:00,2023-08-17 07:12:00,0.0,-216.0
505,20-Apr-22,bbc arabic,crew, $300.00 ,Renault Duster,damour,Event Description,Cameraman,Assistant Needed,no 4G,3:25,2023-08-17 12:55:00,2023-08-17 16:20:00,Sony Z150,1.0,Pro-X,No Reporter,No Editor,No story,0,No format,No Notes,0,0,205.0,0.0
506,20-Apr-22,alghad tv,crew + edit, $265.00 ,No Car,downtown,Event Description,Cameraman,Assistant Needed,no 4G,1:00,2023-08-17 15:00:00,2023-08-17 16:00:00,Sony Z150,1.0,Pro-X,Reporter,Editor needed,Story,0:03:04,MXF,Nawafez intro 101,2023-08-17 16:30:00,2023-08-17 16:45:00,60.0,15.0
507,20-Apr-22,beirutsat,crew, $180.00 ,Suzuki Cias,haret hreik,Event Description,Cameraman,Assistant Needed,no 4G,4:00,2023-08-17 09:00:00,2023-08-17 13:00:00,Sony Z150,1.0,Pro-X,No Reporter,No Editor,No story,0,No format,Volantmedia ,0,0,240.0,0.0
510,20-Apr-22,bloomberg asharq,edit, $50.00 ,No Car,No Location,No Event,No Cameraman,No Assistant,no 4G,0:00,0,0,No Camera needed,0,No Acces,No Reporter,Editor needed,Story,00:02:11,MP4-HD,No Notes,2023-08-17 00:00:00,2023-08-17 03:36:00,0.0,216.0
511,20-Apr-22,alghad tv,edit, $50.00 ,No Car,No Location,No Event,No Cameraman,No Assistant,no 4G,0:00,0,0,No Camera needed,0,No Acces,Reporter,Editor needed,Story,0,No format,zoom,2023-08-17 12:30:00,2023-08-17 16:30:00,0.0,240.0
512,20-Apr-22,alghad tv,edit, $50.00 ,No Car,No Location,No Event,No Cameraman,No Assistant,no 4G,0:00,0,0,No Camera needed,0,No Acces,Reporter,Editor needed,Story,0:02:13,MXF-HD 50i,No Notes,2023-08-17 10:30:00,2023-08-17 12:30:00,0.0,120.0
513,21-Apr-22,bbc arabic,crew + edit, $350.00 ,Renault Duster,daher el baydar,Event Description,Cameraman,Assistant Needed,no 4G,4:00,2023-08-17 12:00:00,2023-08-17 16:00:00,Sony Z150,1.0,Pro-X,No Reporter,Editor needed,Story,0:04:30,MP4-HD,No Notes,2023-08-17 15:00:00,2023-08-17 16:00:00,240.0,60.0
515,21-Apr-22,russia today,crew, $280.00 ,Suzuki Cias,saida,Event Description,Cameraman,Assistant Needed,no 4G,3:35,2023-08-17 15:15:00,2023-08-17 18:50:00,Sony Z150,1.0,Pro-X,No Reporter,No Editor,No story,0,No format,No Notes,0,0,215.0,0.0
516,21-Apr-22,bloomberg asharq,crew, $265.00 ,Suzuki Cias,tarriq el jdide,Event Description,Cameraman,Assistant Needed,no 4G,2:00,2023-08-17 12:00:00,2023-08-17 14:00:00,Sony Z150,1.0,Pro-X,Reporter,No Editor,No story,0,No format,No Notes,0,0,120.0,0.0
517,21-Apr-22,alghad tv,edit, $50.00 ,No Car,No Location,No Event,No Cameraman,No Assistant,no 4G,0:00,0,0,No Camera needed,0,No Acces,Reporter,Editor needed,Story,0,No format,zoom,2023-08-17 12:00:00,2023-08-17 14:30:00,0.0,150.0
518,22-Apr-22,bbc arabic,crew, $300.00 ,Renault Duster,tripoli,Event Description,Cameraman,Assistant Needed,no 4G,4:20,2023-08-17 11:45:00,2023-08-17 16:05:00,Sony Z150,1.0,Pro-X,No Reporter,No Editor,No story,0,No format,No Notes,0,0,260.0,0.0
520,22-Apr-22,Other Clients,Other Type, $900.00 ,Nissan X.Trail,zeytouna bay,Event Description,Cameraman,Assistant Needed,no 4G,4:25,2023-08-17 13:50:00,2023-08-17 18:15:00,Sony FS7,2.0,Pro-X,No Reporter,No Editor,No story,0,No format,Interview ,0,0,265.0,0.0
520,22-Apr-22,Other Clients,crew + edit," $1,656.00 ",Suzuki Cias,zeytouna bay,Event Description,Cameraman,Assistant Needed,no 4G,4:25,2023-08-17 13:50:00,2023-08-17 18:15:00,Sony FS7,2.0,Pro-X,No Reporter,No Editor,No story,0,No format,Interview ,0,0,265.0,0.0
521,22-Apr-22,alghad tv,edit, $50.00 ,No Car,No Location,No Event,No Cameraman,No Assistant,no 4G,0:00,0,0,No Camera needed,0,No Acces,No Reporter,Editor needed,Story,0,No format,zoom,2023-08-17 17:00:00,2023-08-17 18:30:00,0.0,90.0
522,22-Apr-22,alghad tv,edit, $50.00 ,No Car,No Location,No Event,No Cameraman,No Assistant,no 4G,0:00,0,0,No Camera needed,0,No Acces,Reporter,Editor needed,Story,0:08:05,MXF-HD 50i,No Notes,2023-08-17 10:00:00,2023-08-17 13:30:00,0.0,210.0
523,22-Apr-22,russia today,edit, $50.00 ,No Car,No Location,No Event,No Cameraman,No Assistant,no 4G,0:00,0,0,No Camera needed,0,No Acces,No Reporter,Editor needed,Story,0:04:00,MP4,No Notes,2023-08-17 12:00:00,2023-08-17 13:30:00,0.0,90.0
524,23-Apr-22,beirutsat,crew, $180.00 ,Suzuki Cias,airport road,Event Description,Cameraman,Assistant Needed,no 4G,0:45,2023-08-17 14:00:00,2023-08-17 14:45:00,Sony Z150,1.0,Pro-X,No Reporter,No Editor,No story,0,No format,No Notes,0,0,45.0,0.0
525,24-Apr-22,bbc arabic,crew, $350.00 ,Renault Duster,tripoli,Event Description,Cameraman,Assistant Needed,no 4G,8:35,2023-08-17 11:25:00,2023-08-17 20:00:00,Sony Z150,1.0,Pro-X,Reporter,No Editor,No story,0,No format,Extra crew sent with the SNG - Cost $350,0,0,515.0,0.0
526,24-Apr-22,alghad tv,crew, $250.00 ,Suzuki Cias,water front,Event Description,Cameraman,Assistant Needed,4G,5:30,2023-08-17 11:30:00,2023-08-17 17:00:00,Sony Z150,1.0,Pro-X,Reporter,No Editor,No story,0,No format,No Notes,0,0,330.0,0.0
527,24-Apr-22,alghad tv,crew + edit, $265.00 ,Suzuki Cias,water front,Event Description,Cameraman,Assistant Needed,no 4G,5:30,2023-08-17 11:30:00,2023-08-17 17:00:00,Sony Z150,1.0,Pro-X,Reporter,Editor needed,Story,0:02:24,MXF,PKG report-Leila Khalil: Tripoli Boat aftermath / Duration: 2Mins 24Secs,2023-08-17 18:00:00,2023-08-17 19:30:00,330.0,90.0
529,24-Apr-22,russia today,crew + edit, $280.00 ,Suzuki Cias,tripoli,Event Description,Cameraman,Assistant Needed,4G,9:00,2023-08-17 10:30:00,2023-08-17 19:30:00,Sony Z150,1.0,Pro-X,Reporter,Editor needed,Story,0:02:27,MP4-HD,PKG report-Omar Soloh: Tripoli Boat / Duration: 2Mins 27Secs  / Rushes: 50Secs,2023-08-17 19:00:00,2023-08-17 21:00:00,540.0,120.0
530,24-Apr-22,bloomberg asharq,crew, $285.00 ,Renault Duster,tripoli,Event Description,Cameraman,Assistant Needed,4G,4:50,2023-08-17 13:30:00,2023-08-17 18:20:00,Sony Z150,1.0,Pro-X,Reporter,No Editor,No story,0,No format,No Notes,0,0,290.0,0.0
531,24-Apr-22,beirutsat,crew, $180.00 ,No Car,downtown,Event Description,Cameraman,Assistant Needed,no 4G,1:05,2023-08-17 11:25:00,2023-08-17 12:30:00,Sony Z150,1.0,Pro-X,No Reporter,No Editor,No story,0,No format,Volantmedia ,0,0,65.0,0.0
534,24-Apr-22,alghad tv,edit, $50.00 ,No Car,No Location,No Event,No Cameraman,No Assistant,no 4G,0:00,0,0,No Camera needed,0,No Acces,Reporter,Editor needed,Story,0,No format,zoom,2023-08-17 12:15:00,2023-08-17 16:15:00,0.0,240.0
535,25-Apr-22,bbc arabic,crew, $300.00 ,Renault Duster,karantina,Event Description,Cameraman,Assistant Needed,no 4G,4:45,2023-08-17 10:00:00,2023-08-17 14:45:00,Canon 5D MIV,1.0,Pro-X,No Reporter,No Editor,No story,0,No format,No Notes,0,0,285.0,0.0
536,25-Apr-22,alghad tv,crew, $250.00 ,Suzuki Cias,barja,Event Description,Cameraman,Assistant Needed,no 4G,3:15,2023-08-17 12:15:00,2023-08-17 15:30:00,Sony Z150,1.0,Pro-X,Reporter,No Editor,No story,0,No format,No Notes,0,0,195.0,0.0
537,25-Apr-22,russia today,crew + edit, $280.00 ,Renault Duster,tripoli,Event Description,Cameraman,Assistant Needed,4G,8:30,2023-08-17 10:30:00,2023-08-17 19:00:00,Sony Z150,1.0,Pro-X,Reporter,Editor needed,Story,0:02:27,MP4-HD,PKG report-Omar Al Soloh: Funeral of Tripoli Victims / Duration:2Mins 27Secs,2023-08-17 18:00:00,2023-08-17 20:00:00,510.0,120.0
540,25-Apr-22,bloomberg asharq,crew + edit, $285.00 ,Nissan X.Trail,tripoli,Event Description,Cameraman,Assistant Needed,4G,6:00,2023-08-17 12:50:00,2023-08-17 18:50:00,Sony Z150,1.0,Pro-X,Reporter,No Editor,No story,0,No format,PKG report-Maha Hoteit + Aviwest,0,0,360.0,0.0
541,25-Apr-22,Other Clients,crew, $708.00 ,other Truck,gemmayze,Event Description,Cameraman,Assistant Needed,no 4G,9:55,2023-08-17 05:05:00,2023-08-17 15:00:00,Sony FS7,1.0,Pro-X,Reporter,No Editor,No story,0,No format,CNBC + IFB Kit,0,0,595.0,0.0
542,25-Apr-22,priyanka cgtn,crew, $300.00 ,Suzuki Cias,downtown,Event Description,Cameraman,Assistant Needed,no 4G,4:35,2023-08-17 10:15:00,2023-08-17 14:50:00,Sony Z150,1.0,Pro-X,Reporter,No Editor,No story,0,No format,interviews,0,0,275.0,0.0
543,26-Apr-22,bbc arabic,crew + edit, $350.00 ,Renault Duster,gemmayze,Event Description,Cameraman,Assistant Needed,no 4G,6:20,2023-08-17 11:40:00,2023-08-17 18:00:00,Sony Z150,1.0,Pro-X,No Reporter,Editor needed,Story,0:03:06,MP4-HD,Vox pop /Duration: 3 Mins 06 Secs,2023-08-17 07:12:00,2023-08-17 07:12:00,380.0,0.0
544,26-Apr-22,alghad tv,crew + edit, $265.00 ,Nissan X.Trail,hamra,Event Description,Cameraman,Assistant Needed,no 4G,6:55,2023-08-17 09:40:00,2023-08-17 16:35:00,Sony Z150,1.0,Pro-X,Reporter,Editor needed,Story,0:02:37,MXF,PKG report-Hanan Issa: The letter of the UNRWA general commissioner / Duration: 2Mins 37Secs,2023-08-17 16:00:00,2023-08-17 17:30:00,415.0,90.0
545,26-Apr-22,alghad tv,crew, $250.00 ,Suzuki Cias,jbeil,Event Description,Cameraman,Assistant Needed,no 4G,5:10,2023-08-17 09:30:00,2023-08-17 14:40:00,Sony Z150,1.0,Pro-X,Reporter,No Editor,No story,0,No format,PKG report-Leila Khalil / Same crew filmed the PKG 042522DJQ for Claudie,0,0,310.0,0.0
546,26-Apr-22,alghad tv,crew + edit, $265.00 ,Suzuki Cias,jnah,Event Description,Cameraman,Assistant Needed,no 4G,3:00,2023-08-17 19:30:00,2023-08-17 22:30:00,Sony Z150,1.0,Pro-X,Reporter,Editor needed,Story,0:04:24,MXF-HD 50i,PKG report-Leila Khalil: French Saudi conference for helping Lebanese people / Duration: 4Mins 24Secs (EXTRA CREW),2023-08-17 04:48:00,2023-08-17 00:00:00,180.0,-288.0
549,26-Apr-22,bloomberg asharq,crew + edit, $285.00 ,Renault Duster,barja,Event Description,Cameraman,Assistant Needed,no 4G,2:30,2023-08-17 09:00:00,2023-08-17 11:30:00,Sony Z150,1.0,Pro-X,Reporter,Editor needed,Story,0:03:06,MP4-HD,Rushes-Maha Hoteit: Capital control demonstration / Duration: 3Mins 6Secs,2023-08-17 11:40:00,2023-08-17 12:15:00,150.0,35.0
550,26-Apr-22,bloomberg asharq,crew, $265.00 ,Nissan X.Trail,jnah,Event Description,Cameraman,Assistant Needed,no 4G,2:50,2023-08-17 19:50:00,2023-08-17 22:40:00,Canon XF305,1.0,Pro-X,No Reporter,No Editor,No story,0,No format,No Notes,0,0,170.0,0.0
551,26-Apr-22,russia today,crew + edit, $280.00 ,No Car,downtown,Event Description,Cameraman,Assistant Needed,no 4G,1:30,2023-08-17 11:00:00,2023-08-17 12:30:00,Sony Z150,1.0,Pro-X,No Reporter,Editor needed,Story,0:02:41,MP4-HD,Rushes-Omar El Soloh: Capital control demos / Duration: 2Mins 41Secs,2023-08-17 12:30:00,2023-08-17 13:30:00,90.0,60.0
552,26-Apr-22,alghad tv,edit, $50.00 ,No Car,No Location,No Event,No Cameraman,No Assistant,no 4G,0:00,0,0,No Camera needed,0,No Acces,Reporter,Editor needed,Story,0:02:35,MXF,PKG report-Claudie Abi Hanna: Demo against capital control / Duration: 2Mins 35Secs,2023-08-17 14:30:00,2023-08-17 16:00:00,0.0,90.0
553,26-Apr-22,priyanka cgtn,edit, $50.00 ,No Car,No Location,No Event,No Cameraman,No Assistant,no 4G,0:00,0,0,No Camera needed,0,No Acces,Reporter,Editor needed,Story,0:03:00,MP4-HD,PKG report-CGTN-Priyanka Navani: Revolution and elections / Duration: 3Mins,2023-08-17 07:12:00,2023-08-17 07:12:00,0.0,0.0
554,26-Apr-22,bloomberg asharq,edit, $50.00 ,No Car,No Location,No Event,No Cameraman,No Assistant,no 4G,0:00,0,0,No Camera needed,0,No Acces,Reporter,Editor needed,Story,0:03:06,MP4-HD,Interview-Rana Najjar: Actor Youssef al Khal/Duration: 3Mins 20Secs,2023-08-17 12:30:00,2023-08-17 13:30:00,0.0,60.0
555,27-Apr-22,bbc arabic,crew + edit, $350.00 ,Nissan X.Trail,tarriq el jdide,Event Description,Cameraman,Assistant Needed,no 4G,2:00,2023-08-17 11:45:00,2023-08-17 13:45:00,Sony Z150,1.0,Pro-X,No Reporter,Editor needed,Story,0:01:17,MP4-HD,No Notes,2023-08-17 13:30:00,2023-08-17 14:10:00,120.0,40.0
556,27-Apr-22,alghad tv,crew + edit, $265.00 ,Suzuki Cias,furn el chebbak,Event Description,Cameraman,Assistant Needed,no 4G,4:45,2023-08-17 10:45:00,2023-08-17 15:30:00,Sony Z150,1.0,Pro-X,Reporter,Editor needed,Story,0:01:55,MXF,No Notes,2023-08-17 14:15:00,2023-08-17 15:00:00,285.0,45.0
557,27-Apr-22,alghad tv,crew + edit, $265.00 ,Nissan X.Trail,tripoli,Event Description,Cameraman,Assistant Needed,4G,4:15,2023-08-17 11:35:00,2023-08-17 15:50:00,Sony Z150,1.0,Pro-X,Reporter,Editor needed,Story,0:01:44,MXF,No Notes,2023-08-17 15:30:00,2023-08-17 16:00:00,255.0,30.0
559,27-Apr-22,russia today,crew + edit, $280.00 ,Suzuki Cias,baalbek,Event Description,Cameraman,Assistant Needed,no 4G,5:10,2023-08-17 09:00:00,2023-08-17 14:10:00,Sony Z150,1.0,Pro-X,Reporter,Editor needed,Story,0:02:46,MP4-HD,No Notes,2023-08-17 15:00:00,2023-08-17 16:45:00,310.0,105.0
561,27-Apr-22,bloomberg asharq,crew, $285.00 ,Renault Duster,tripoli,Event Description,Cameraman,Assistant Needed,4G,7:00,2023-08-17 10:30:00,2023-08-17 17:30:00,Sony Z150,1.0,Pro-X,Reporter,No Editor,No story,0,No format,No Notes,0,0,420.0,0.0
564,28-Apr-22,bbc arabic,crew + edit, $350.00 ,No Car,downtown,Event Description,Cameraman,Assistant Needed,no 4G,5:30,2023-08-17 11:30:00,2023-08-17 17:00:00,Sony Z150,1.0,Pro-X,Reporter,Editor needed,Story,0:00:40,MP4-HD,Daily Crew,2023-08-17 14:00:00,2023-08-17 15:00:00,330.0,60.0
565,28-Apr-22,alghad tv,crew + edit, $265.00 ,Suzuki Cias,downtown,Event Description,Cameraman,Assistant Needed,no 4G,2:10,2023-08-17 13:20:00,2023-08-17 15:30:00,Sony Z150,1.0,Pro-X,Reporter,Editor needed,Story,0:02:17,MXF,PKG report-Claudie Abi Hanna:,2023-08-17 15:30:00,2023-08-17 16:15:00,130.0,45.0
566,28-Apr-22,russia today,crew, $280.00 ,Suzuki Cias,verdun,Event Description,Cameraman,Assistant Needed,no 4G,1:30,2023-08-17 16:30:00,2023-08-17 18:00:00,Sony Z150,1.0,Pro-X,No Reporter,No Editor,No story,0,No format,No Notes,0,0,90.0,0.0
567,28-Apr-22,alghad tv,edit, $50.00 ,No Car,No Location,No Event,No Cameraman,No Assistant,no 4G,0:00,0,0,No Camera needed,0,No Acces,Reporter,Editor needed,Story,0:03:30,MXF,PKG report-Leila Khalil: ,2023-08-17 11:30:00,2023-08-17 13:00:00,0.0,90.0
568,29-Apr-22,alghad tv,crew, $250.00 ,Suzuki Cias,qartaba,Event Description,Cameraman,Assistant Needed,no 4G,7:30,2023-08-17 07:45:00,2023-08-17 15:15:00,Sony Z150,1.0,Pro-X,Reporter,No Editor,No story,0,No format,No Notes,0,0,450.0,0.0
569,29-Apr-22,alghad tv,crew, $250.00 ,Suzuki Cias,bourj el brajne,Event Description,Cameraman,Assistant Needed,no 4G,2:50,2023-08-17 14:30:00,2023-08-17 17:20:00,Sony Z150,1.0,Pro-X,Reporter,No Editor,No story,0,No format,No Notes,0,0,170.0,0.0
570,29-Apr-22,alghad tv,edit, $50.00 ,No Car,No Location,No Event,No Cameraman,No Assistant,no 4G,0:00,0,0,No Camera needed,0,No Acces,Reporter,Editor needed,Story,0:01:58,MXF-HD 50i,filmed on 26th,2023-08-17 13:30:00,2023-08-17 15:00:00,0.0,90.0
571,29-Apr-22,bbc arabic,edit, $50.00 ,No Car,No Location,No Event,No Cameraman,No Assistant,no 4G,0:00,0,0,No Camera needed,0,No Acces,Reporter,Editor needed,Story,0:03:21,MP4-HD,No Notes,2023-08-17 10:00:00,2023-08-17 12:45:00,0.0,165.0
572,29-Apr-22,russia today,edit, $50.00 ,No Car,No Location,No Event,No Cameraman,No Assistant,no 4G,0:00,0,0,No Camera needed,0,No Acces,Reporter,Editor needed,Story,0:03:20,MP4,No Notes,2023-08-17 11:40:00,2023-08-17 13:40:00,0.0,120.0
573,30-Apr-22,beirutsat,crew, $180.00 ,No Car,downtown,Event Description,Cameraman,Assistant Needed,no 4G,1:00,2023-08-17 18:00:00,2023-08-17 19:00:00,Sony Z150,1.0,Pro-X,No Reporter,No Editor,No story,0,No format,Volant Media,0,0,60.0,0.0
574,30-Apr-22,alghad tv,edit, $50.00 ,No Car,No Location,No Event,No Cameraman,No Assistant,no 4G,0:00,0,0,No Camera needed,0,No Acces,Reporter,Editor needed,Story,0:02:30,MXF-HD 50i,PKG report-Hanan Issa:,2023-08-17 15:00:00,2023-08-17 16:45:00,0.0,105.0
577,2-May-22,priyanka cgtn,crew + edit, $300.00 ,Suzuki Cias,cola,Event Description,Cameraman,Assistant Needed,no 4G,3:30,2023-08-17 12:30:00,2023-08-17 16:00:00,Sony Z150,1.0,Pro-X,Reporter,No Editor,No story,0,No format,PKG report-CGTN Priyanka: ,0,0,210.0,0.0
